Date,AR
2015/1/30,0.999508068627258
2015/2/2,0.9994376839901331
2015/2/3,0.9994811757968638
2015/2/4,0.9995326252803164
2015/2/5,0.9995355639937686
2015/2/6,0.9995708691416895
2015/2/9,0.9994519853223772
2015/2/10,0.9993772335438799
2015/2/11,0.999392393907149
2015/2/12,0.9994040386149288
2015/2/13,0.9993293718447721
2015/2/17,0.9992397614408086
2015/2/18,0.9989530838434274
2015/2/19,0.9989944297697441
2015/2/20,0.9989752519399618
2015/2/23,0.9986989375411699
2015/2/24,0.9985377757908223
2015/2/25,0.9986367165368292
2015/2/26,0.9985145178726959
2015/2/27,0.9988321041412679
2015/3/2,0.9987992640271113
2015/3/3,0.9986469653947242
2015/3/4,0.9985670773763117
2015/3/5,0.998481480752158
2015/3/6,0.998796082516206
2015/3/9,0.9987610958286478
2015/3/10,0.9987474391290394
2015/3/11,0.9987143395687145
2015/3/12,0.9990876594269186
2015/3/13,0.9991045563745373
2015/3/16,0.9990859229908902
2015/3/17,0.9989875706607083
2015/3/18,0.9987084631754503
2015/3/19,0.998873552970279
2015/3/20,0.9987304131024954
2015/3/23,0.9988114375672915
2015/3/24,0.9988290068222784
2015/3/25,0.9985905592756533
2015/3/26,0.9986804717899664
2015/3/27,0.9984066352770095
2015/3/30,0.9985103290545505
2015/3/31,0.998632512861567
2015/4/1,0.9985325370102509
2015/4/2,0.9981886989558144
2015/4/6,0.9979424562349838
2015/4/7,0.9979683439652418
2015/4/8,0.9978818191785676
2015/4/9,0.9981297968067218
2015/4/10,0.9977759170524958
2015/4/13,0.9983485678125765
2015/4/14,0.998830229304241
2015/4/15,0.9990620065011395
2015/4/16,0.9992967231628747
2015/4/17,0.9992171951763225
2015/4/20,0.9992621442457694
2015/4/21,0.9991708158767804
2015/4/22,0.9993806406167846
2015/4/23,0.999389802324175
2015/4/24,0.9994180502597256
2015/4/27,0.9994808738446064
2015/4/28,0.9994560705673922
2015/4/29,0.999369831132212
2015/4/30,0.9993182947856719
2015/5/1,0.9994304977027924
2015/5/4,0.9993395104125379
2015/5/5,0.9993201860395707
2015/5/6,0.9992803279747204
2015/5/7,0.9992204951080871
2015/5/8,0.9990880363794369
2015/5/11,0.9986730267827264
2015/5/12,0.9985240726977237
2015/5/13,0.9984423885616859
2015/5/14,0.9984099385944705
2015/5/15,0.9984679913565221
2015/5/18,0.9982728360761722
2015/5/19,0.998372348453622
2015/5/20,0.9969334083181008
2015/5/21,0.9964450341084683
2015/5/22,0.9960176944890426
2015/5/26,0.9964802085019149
2015/5/27,0.9963140066646914
2015/5/28,0.9963614489237754
2015/5/29,0.997140857833395
2015/6/1,0.9968421885852627
2015/6/2,0.9969476189814467
2015/6/3,0.9975343695553298
2015/6/4,0.997489960967991
2015/6/5,0.997450987700952
2015/6/8,0.9978139661896034
2015/6/9,0.9977797176040869
2015/6/10,0.997488086371487
2015/6/11,0.9975675633569485
2015/6/12,0.9975908102940584
2015/6/15,0.9977729968479062
2015/6/16,0.9979773282946391
2015/6/17,0.9979486567710104
2015/6/18,0.9982461200402807
2015/6/19,0.998624661316509
2015/6/22,0.9989036712792935
2015/6/23,0.998992447878931
2015/6/24,0.9989339822926598
2015/6/25,0.9990057961961545
2015/6/26,0.9989044636050659
2015/6/29,0.999200959321577
2015/6/30,0.9993627895282952
2015/7/1,0.9994773304393264
2015/7/2,0.9995425951889014
2015/7/6,0.9995782009035112
2015/7/7,0.9995338824761358
2015/7/8,0.9995662930878647
2015/7/9,0.9995863449550771
2015/7/10,0.9994986445131201
2015/7/13,0.9995319240905123
2015/7/14,0.9994315050764422
2015/7/15,0.9993963386106925
2015/7/16,0.9994291442306455
2015/7/17,0.9993317740902419
2015/7/20,0.9992877490542826
2015/7/21,0.9991295488464825
2015/7/22,0.9991616048389522
2015/7/23,0.9991565152479095
2015/7/24,0.9991477153082434
2015/7/27,0.9990462222543537
2015/7/28,0.9990223348369651
2015/7/29,0.9987347290723755
2015/7/30,0.9981849338614031
2015/7/31,0.9979773363839891
2015/8/3,0.9973808289051891
2015/8/4,0.9974310823902185
2015/8/5,0.9969483885559948
2015/8/6,0.9968167911319371
2015/8/7,0.9969682359428602
2015/8/10,0.9982197459053489
2015/8/11,0.998281151670985
2015/8/12,0.9987618321433283
2015/8/13,0.9987233686185515
2015/8/14,0.9987978276241687
2015/8/17,0.9988666329298801
2015/8/18,0.9987999593944971
2015/8/19,0.998791633648034
2015/8/20,0.9989937827703534
2015/8/21,0.9988581106579488
2015/8/24,0.9989577410330606
2015/8/25,0.9989384887803063
2015/8/26,0.9991458385690639
2015/8/27,0.9990797188682364
2015/8/28,0.9991197167598249
2015/8/31,0.999194140616215
2015/9/1,0.9990847692216956
2015/9/2,0.9992577255927982
2015/9/3,0.9993635407873275
2015/9/4,0.9992801099540821
2015/9/8,0.9989715647226685
2015/9/9,0.9991686068771728
2015/9/10,0.9989479767414274
2015/9/11,0.9988975415504276
2015/9/14,0.9989063271251772
2015/9/15,0.9989948194046031
2015/9/16,0.9990001322411746
2015/9/17,0.9990017756035938
2015/9/18,0.9989782191936452
2015/9/21,0.9990911006259089
2015/9/22,0.9990316273582415
2015/9/23,0.9990726447670943
2015/9/24,0.9990791634954329
2015/9/25,0.9991472744104948
2015/9/28,0.9991429025922394
2015/9/29,0.9990090943171824
2015/9/30,0.9990958858219262
2015/10/1,0.9988462063281353
2015/10/2,0.9985169898044035
2015/10/5,0.9988696175518376
2015/10/6,0.9989782927034535
2015/10/7,0.9988042441903726
2015/10/8,0.9988549257113366
