Date,MSI
2015/4/27,4.456726737608397
2015/4/28,4.436580586512579
2015/4/29,4.520338106021526
2015/4/30,4.394599348046083
2015/5/1,4.510188522677742
2015/5/4,4.601072144758116
2015/5/5,4.591780352010301
2015/5/6,4.604987383466407
2015/5/7,4.567471467965729
2015/5/8,4.582967137398517
2015/5/11,4.600025821817711
2015/5/12,4.557953752610927
2015/5/13,4.447844067270412
2015/5/14,4.27046067688972
2015/5/15,3.9716971064149793
2015/5/18,3.727852083386674
2015/5/19,3.616277188327524
2015/5/20,3.630413284187285
2015/5/21,3.3610963463272707
2015/5/22,3.908863156252553
2015/5/26,4.222222100638788
2015/5/27,4.2146712573292895
2015/5/28,4.218512761731936
2015/5/29,4.332924007199412
2015/6/1,4.367394174255035
2015/6/2,4.394876339319932
2015/6/3,4.231029493073407
2015/6/4,4.744728438726389
2015/6/5,4.5458176130335515
2015/6/8,4.557547217121194
2015/6/9,4.4284274011714855
2015/6/10,4.441634733612009
2015/6/11,4.5917948915012765
2015/6/12,4.587429023494377
2015/6/15,4.3324628745120455
2015/6/16,4.311128193521698
2015/6/17,4.318326974880196
2015/6/18,4.295868968874519
2015/6/19,4.221012349794458
2015/6/22,4.210687592260094
2015/6/23,4.123673702539702
2015/6/24,4.1319473411826415
2015/6/25,4.1257543230978735
2015/6/26,4.104152213756769
2015/6/29,4.126950411240597
2015/6/30,4.2425770837800645
2015/7/1,3.9962806477877213
2015/7/2,4.007854621294913
2015/7/6,4.04139834983156
2015/7/7,4.16995940971867
2015/7/8,4.288057942361088
2015/7/9,4.3060851471228485
2015/7/10,4.3301781288398775
2015/7/13,4.308964801385418
2015/7/14,4.263497897634675
2015/7/15,4.240960683522678
2015/7/16,4.238191171803161
2015/7/17,4.297971711734239
2015/7/20,4.245104439846268
2015/7/21,4.2585183177439525
2015/7/22,4.258061645183839
2015/7/23,4.273432377764656
2015/7/24,4.197840039483759
2015/7/27,4.186370385114905
2015/7/28,4.080572046596407
2015/7/29,3.9920987988533554
2015/7/30,4.001417639462102
2015/7/31,4.019831238801209
2015/8/3,4.019161570906659
2015/8/4,4.0036366239621755
2015/8/5,4.120200172557828
2015/8/6,4.2463960467108
2015/8/7,4.210459222265591
2015/8/10,4.153636332848584
2015/8/11,4.129843089183914
2015/8/12,4.109270101228855
2015/8/13,4.108187082278568
2015/8/14,3.972371332154486
2015/8/17,3.9540220746530568
2015/8/18,3.3670060768337815
2015/8/19,3.0804855772534823
2015/8/20,2.9078203064563266
2015/8/21,2.9240320020471784
2015/8/24,2.8064951996414504
2015/8/25,2.719694555126599
2015/8/26,2.6830080174904056
2015/8/27,2.6952806687228006
2015/8/28,2.188047718798205
2015/8/31,2.188364324853374
2015/9/1,2.1586119532942307
2015/9/2,2.2227416707647185
2015/9/3,2.212917657343523
2015/9/4,2.0769366582903266
2015/9/8,2.035070225367185
2015/9/9,2.0148826669971296
2015/9/10,2.0718436699884704
2015/9/11,2.0518889191031473
2015/9/14,2.033451417274424
2015/9/15,2.0851801208241905
2015/9/16,2.1458342557492025
2015/9/17,2.1565912386443475
2015/9/18,2.1232566435712013
2015/9/21,2.074352751572045
2015/9/22,2.1165659268403134
2015/9/23,2.1633247531046593
2015/9/24,2.152304107311234
2015/9/25,2.1495946723970287
2015/9/28,2.1129779536420026
2015/9/29,2.0979003985208786
2015/9/30,1.9698281529113804
2015/10/1,2.0054945090797904
2015/10/2,1.9074489206775147
2015/10/5,1.9169247213036908
2015/10/6,2.0289635452770876
2015/10/7,2.053137057791242
2015/10/8,2.0823261548794534
2015/10/9,2.1313078401975165
2015/10/12,2.0107344626939803
2015/10/13,2.0103605724533913
2015/10/14,2.097069549244499
2015/10/15,2.125630140269865
