Date,,A,B,C
2015/1/30,A,0.9999999999999998,0.9993980629543567,0.9989372235768579
2015/1/30,B,0.9993980629543567,0.9999999999999999,0.9994210445609942
2015/1/30,C,0.9989372235768579,0.9994210445609942,1.0000000000000002
2015/2/2,A,0.9999999999999996,0.9993727575030534,0.9986619267987217
2015/2/2,B,0.9993727575030534,0.9999999999999998,0.9993850696228949
2015/2/2,C,0.9986619267987217,0.9993850696228949,0.9999999999999999
2015/2/3,A,0.9999999999999994,0.9994005627282773,0.9987805417085196
2015/2/3,B,0.9994005627282773,0.9999999999999998,0.999440139155657
2015/2/3,C,0.9987805417085196,0.999440139155657,1.0000000000000002
2015/2/4,A,0.9999999999999998,0.9995069689349722,0.9989109317498844
2015/2/4,B,0.9995069689349722,0.9999999999999998,0.9994429612307874
2015/2/4,C,0.9989109317498844,0.9994429612307874,1.0000000000000002
2015/2/5,A,0.9999999999999996,0.9995014477195643,0.9989303257207645
2015/2/5,B,0.9995014477195643,1.0,0.9994432407722438
2015/2/5,C,0.9989303257207645,0.9994432407722438,1.0
2015/2/6,A,0.9999999999999998,0.9994878479378948,0.9990854334175754
2015/2/6,B,0.9994878479378948,0.9999999999999998,0.9994698609604583
2015/2/6,C,0.9990854334175754,0.9994698609604583,0.9999999999999999
2015/2/9,A,0.9999999999999998,0.9993183323223382,0.9988326376578918
2015/2/9,B,0.9993183323223382,0.9999999999999996,0.9993509594913579
2015/2/9,C,0.9988326376578918,0.9993509594913579,0.9999999999999997
2015/2/10,A,0.9999999999999996,0.9991344778999723,0.9987720987518097
2015/2/10,B,0.9991344778999723,0.9999999999999994,0.9992633420734636
2015/2/10,C,0.9987720987518097,0.9992633420734636,1.0000000000000002
2015/2/11,A,1.0,0.9992467817311818,0.998665012266441
2015/2/11,B,0.9992467817311818,0.9999999999999997,0.9993154125939421
2015/2/11,C,0.998665012266441,0.9993154125939421,1.0000000000000002
2015/2/12,A,1.0000000000000002,0.9992098576815049,0.9986445318564662
2015/2/12,B,0.9992098576815049,0.9999999999999992,0.999420290827576
2015/2/12,C,0.9986445318564662,0.999420290827576,1.0000000000000002
2015/2/13,A,1.0,0.9990489083306409,0.9986991861949761
2015/2/13,B,0.9990489083306409,0.9999999999999994,0.9992028020177706
2015/2/13,C,0.9986991861949761,0.9992028020177706,1.0000000000000002
2015/2/17,A,1.0,0.9989141370731264,0.9985727339411701
2015/2/17,B,0.9989141370731264,0.9999999999999996,0.9990615317021306
2015/2/17,C,0.9985727339411701,0.9990615317021306,1.0000000000000002
2015/2/18,A,0.9999999999999999,0.9985228273648208,0.9980595481870363
2015/2/18,B,0.9985228273648208,0.9999999999999996,0.9986665346565967
2015/2/18,C,0.9980595481870363,0.9986665346565967,1.0000000000000004
2015/2/19,A,0.9999999999999997,0.9986185197737901,0.9982920280614409
2015/2/19,B,0.9986185197737901,0.9999999999999993,0.9985439509426236
2015/2/19,C,0.9982920280614409,0.9985439509426236,1.0000000000000004
2015/2/20,A,0.9999999999999999,0.9983477004511457,0.9984975980974796
2015/2/20,B,0.9983477004511457,0.9999999999999993,0.9985383321264772
2015/2/20,C,0.9984975980974796,0.9985383321264772,1.0000000000000004
2015/2/23,A,0.9999999999999999,0.9980116429190358,0.9978561139009455
2015/2/23,B,0.9980116429190358,0.9999999999999991,0.9982462456189464
2015/2/23,C,0.9978561139009455,0.9982462456189464,1.0000000000000007
2015/2/24,A,0.9999999999999998,0.9977706517482484,0.997532171836947
2015/2/24,B,0.9977706517482484,0.9999999999999992,0.9980752563965001
2015/2/24,C,0.997532171836947,0.9980752563965001,1.0000000000000007
2015/2/25,A,0.9999999999999997,0.9980311590096925,0.9976656354226073
2015/2/25,B,0.9980311590096925,0.999999999999999,0.9981298604304294
2015/2/25,C,0.9976656354226073,0.9981298604304294,1.0000000000000004
2015/2/26,A,0.9999999999999997,0.9977463413132471,0.997342759147781
2015/2/26,B,0.9977463413132471,0.999999999999999,0.9981705955477114
2015/2/26,C,0.997342759147781,0.9981705955477114,1.0000000000000004
2015/2/27,A,0.9999999999999998,0.9982840085467068,0.9978612869099751
2015/2/27,B,0.9982840085467068,0.9999999999999994,0.9985509962141279
2015/2/27,C,0.9978612869099751,0.9985509962141279,1.0000000000000002
2015/3/2,A,0.9999999999999999,0.9982655443796841,0.9978702474157989
2015/3/2,B,0.9982655443796841,0.9999999999999991,0.9984185802610723
2015/3/2,C,0.9978702474157989,0.9984185802610723,1.0
2015/3/3,A,1.0000000000000002,0.9981488196502353,0.9975802365143698
2015/3/3,B,0.9981488196502353,0.9999999999999997,0.9981381865619482
2015/3/3,C,0.9975802365143698,0.9981381865619482,1.0
2015/3/4,A,1.0,0.9980809595662414,0.9974260289943816
2015/3/4,B,0.9980809595662414,0.9999999999999994,0.997995350756826
2015/3/4,C,0.9974260289943816,0.997995350756826,0.9999999999999999
2015/3/5,A,0.9999999999999999,0.997957420595981,0.9972123913915598
2015/3/5,B,0.997957420595981,0.9999999999999992,0.9979312894565622
2015/3/5,C,0.9972123913915598,0.9979312894565622,1.0000000000000004
2015/3/6,A,0.9999999999999998,0.9983807491888739,0.9978477869966295
2015/3/6,B,0.9983807491888739,0.9999999999999993,0.9983142354253615
2015/3/6,C,0.9978477869966295,0.9983142354253615,1.0
2015/3/9,A,0.9999999999999998,0.9984846933623207,0.9977425476460698
2015/3/9,B,0.9984846933623207,0.9999999999999994,0.9981565487253875
2015/3/9,C,0.9977425476460698,0.9981565487253875,1.0
2015/3/10,A,1.0,0.9985881666260049,0.997635730642875
