Date,FTI
2015/4/27,3.8128095633302594
2015/4/28,3.74769239555795
2015/4/29,3.7693985865486375
2015/4/30,3.7953835579383943
2015/5/1,3.761480553263594
2015/5/4,3.913642635502896
2015/5/5,3.8343872532516032
2015/5/6,3.9139825451032375
2015/5/7,3.9106811436965914
2015/5/8,3.90573413598583
2015/5/11,3.7361522378634713
2015/5/12,3.6768856514654016
2015/5/13,3.716422987848364
2015/5/14,4.121228078514369
2015/5/15,4.149152181501186
2015/5/18,4.1557680005234765
2015/5/19,4.185468295751542
2015/5/20,4.19364921007391
2015/5/21,4.207856579466368
2015/5/22,4.20272848086471
2015/5/26,4.250043731053158
2015/5/27,4.13532808123445
2015/5/28,4.176068893902742
2015/5/29,4.2685629927405335
2015/6/1,4.285507498770111
2015/6/2,4.281741458900027
2015/6/3,4.222914995826893
2015/6/4,4.22990179636906
2015/6/5,4.243173602472692
2015/6/8,4.288415016000839
2015/6/9,4.38799887597631
2015/6/10,4.432516283371851
2015/6/11,4.356156747388316
2015/6/12,4.37781101675819
2015/6/15,4.394313960710531
2015/6/16,4.38180017779576
2015/6/17,4.316129443716947
2015/6/18,4.315486565464062
2015/6/19,4.32208654474073
2015/6/22,4.21055547515501
2015/6/23,4.222416167221658
2015/6/24,4.1801323765747895
2015/6/25,4.137288553877631
2015/6/26,4.157675169885163
2015/6/29,4.144369576060004
2015/6/30,4.0909137731005245
2015/7/1,3.8960959254201817
2015/7/2,3.8655093284962634
2015/7/6,3.742081793416993
2015/7/7,3.7469524233449163
2015/7/8,3.752934210998065
2015/7/9,3.79493191398313
2015/7/10,3.766467277331249
2015/7/13,3.5243712290557334
2015/7/14,3.38432417364695
2015/7/15,3.424766739525611
2015/7/16,3.333642855564798
2015/7/17,3.210869748638523
2015/7/20,3.1810246996527227
2015/7/21,3.1029154372783134
2015/7/22,3.137903990479674
2015/7/23,3.141619942501205
2015/7/24,3.1680307181048457
2015/7/27,3.3031587795988084
2015/7/28,3.312027294846773
2015/7/29,3.1524926556611925
2015/7/30,3.129826198127105
2015/7/31,3.060557945294225
2015/8/3,3.0394722502640037
2015/8/4,3.0545526986757974
2015/8/5,3.295316483023574
2015/8/6,3.3136804444968315
2015/8/7,3.3495919979405926
2015/8/10,2.9676554137794806
2015/8/11,2.9225212632264843
2015/8/12,2.9110402845336165
2015/8/13,2.86231949920358
2015/8/14,2.8145845729190815
2015/8/17,2.8048641804052385
2015/8/18,2.827226364180425
2015/8/19,2.777911180958121
2015/8/20,2.7201394487815054
2015/8/21,2.788774699372751
2015/8/24,2.7062544166614044
2015/8/25,2.6991411886395817
2015/8/26,2.7384837459140856
2015/8/27,2.779332001578125
2015/8/28,2.803218448354177
2015/8/31,2.8103306936671424
2015/9/1,2.7876263828781616
2015/9/2,2.716423022400977
2015/9/3,2.693045821138432
2015/9/4,2.74206300694537
2015/9/8,2.748060919198957
2015/9/9,2.883245893058644
2015/9/10,2.8861910329554727
2015/9/11,2.873699912095323
2015/9/14,3.036776095281313
2015/9/15,3.0294004668558467
2015/9/16,3.0523459497413996
2015/9/17,3.041733529610702
2015/9/18,3.0594747581352544
2015/9/21,3.2052404186922083
2015/9/22,3.166110262372601
2015/9/23,3.190685295116
2015/9/24,3.165450839610914
2015/9/25,3.136558579165999
2015/9/28,3.1560688074834786
2015/9/29,3.1931223915470865
2015/9/30,3.240869849270101
2015/10/1,3.2726018053378647
2015/10/2,3.2728327192600775
2015/10/5,3.2936909574752713
2015/10/6,3.2749163740337943
2015/10/7,3.2837230900536096
2015/10/8,3.189768988819396
2015/10/9,3.204941364989006
2015/10/12,3.213465683968733
2015/10/13,3.135470320276649
2015/10/14,3.1372678930134983
2015/10/15,3.0707257594264683
2015/10/16,3.167036805301572
2015/10/19,3.1473209263352473
2015/10/20,2.9925325331135344
2015/10/21,2.9192838618665973
2015/10/22,2.9054353644910065
2015/10/23,3.0625629042936935
2015/10/26,3.058697641202833
2015/10/27,3.0815147204172595
2015/10/28,3.0293841986563312
2015/10/29,2.8329240490809537
2015/10/30,2.801748735861602
2015/11/2,2.7757862763969054
2015/11/3,2.7984206892420347
2015/11/4,2.857984625668823
2015/11/5,2.885737110414135
2015/11/6,2.893148079659008
2015/11/9,2.9304420411250143
2015/11/10,3.0053615599178793
2015/11/11,3.4185904074451785
2015/11/12,3.4127036338406866
2015/11/13,3.371277687329696
2015/11/16,3.472358429915606
2015/11/17,3.5582754138255033
2015/11/18,3.536567497000328
2015/11/19,3.518621072893807
2015/11/20,3.566332921888607
