Date,A,B,C
2015/1/30,0.011033428968138616,0.012470800860799216,0.010977380678017507
2015/2/2,0.01356339731850733,0.016717416141663596,0.014104578908873712
2015/2/3,0.013589662776084395,0.01683290220735605,0.014239306675393184
2015/2/4,0.013550062055767255,0.016829767971112814,0.014140129071906964
2015/2/5,0.012661654047485038,0.015734388057875918,0.013354074351488821
2015/2/6,0.013146516191274231,0.016503663698161305,0.013811654487516832
2015/2/9,0.01357805923834516,0.016649555881414257,0.013619321582478295
2015/2/10,0.013401366274952496,0.016667174200245716,0.013531424659121463
2015/2/11,0.013408809117115273,0.016810529507344556,0.013528560233934213
2015/2/12,0.013926259114204911,0.017167289583761142,0.013623593115674017
2015/2/13,0.014349526510903434,0.01775655515171627,0.01414590080670755
2015/2/17,0.014348591912338227,0.017759551402345544,0.014148181647055447
2015/2/18,0.013933786121207013,0.017473335481201186,0.013970692236831938
2015/2/19,0.01419458345754868,0.017687353429900424,0.014292097504579191
2015/2/20,0.015433444478422336,0.018970512235964333,0.01554622890250275
2015/2/23,0.01542768803610851,0.01897887771212364,0.015618440342718632
2015/2/24,0.015404965457443569,0.01892861599715703,0.015614310535142725
2015/2/25,0.015207183757556902,0.01903955764378909,0.01586188191572813
2015/2/26,0.015569678313582837,0.01939693912866513,0.01624828659022415
2015/2/27,0.015601012878980414,0.019445913559573032,0.016292175890715244
2015/3/2,0.015415196528467028,0.019362311092596705,0.016140757564690536
2015/3/3,0.013770801379511156,0.01659948881481442,0.013919538786301349
2015/3/4,0.014345089891310125,0.01733518254851284,0.014452102233127534
2015/3/5,0.014913239044469121,0.017723982510606435,0.014298559452014574
2015/3/6,0.015854063543954137,0.018604456781153505,0.015135882687559922
2015/3/9,0.0144383555290611,0.01661877734754293,0.013853582992908597
2015/3/10,0.013915538916695584,0.016112854365020496,0.013539593943090003
2015/3/11,0.014315513270709823,0.016566877153740393,0.013784200807631111
2015/3/12,0.014535541567000956,0.016839363314276448,0.014071469139709605
2015/3/13,0.014334430691992495,0.016858295039400218,0.014290667113028408
2015/3/16,0.013416523189053222,0.015633374511113282,0.013373712132293082
2015/3/17,0.013437020333559374,0.015797147615137352,0.013731868602288633
2015/3/18,0.013441115271104868,0.01581262284676472,0.013619257859445753
2015/3/19,0.013359680456025935,0.0157739664829159,0.013523115284422715
2015/3/20,0.01271115821171899,0.015141594726964932,0.012668786822142326
2015/3/23,0.012734452296314773,0.015137205973890958,0.012631556807299115
2015/3/24,0.012837572655876615,0.015208999489996194,0.012676422146153853
2015/3/25,0.012087348474890944,0.014093952513741823,0.01186145185336436
2015/3/26,0.01137039638429114,0.013262107303634686,0.010945718274663447
2015/3/27,0.011393228115933395,0.013265939501375043,0.010962430875684768
2015/3/30,0.011390500574739714,0.01317731483808512,0.010964625293377052
2015/3/31,0.011257702501391237,0.013063262829215674,0.010934526698348919
