Date,A,B,C
2018/8/20,-0.0138049015182762,-0.0146932748588799,-0.006849202104971801
2018/8/21,0.0145998566624113,0.0158585599160927,0.011258557053962599
2018/8/22,0.0011556414441104002,0.0018434197370886998,0.003735642969971
2018/8/23,-0.0022908276190742,-0.0037345454904619,-0.0028831334802123
2018/8/24,0.0069282787653026,0.0092551723704302,0.012013093390671801
2018/8/27,0.00037409245735540043,0.0047952954938168,0.004212467010152
2018/8/28,-0.0142237983156026,-0.0149543136751078,-0.0182063231018224
2018/8/29,0.0171053457848891,0.028736848617992396,0.0258629060939455
2018/8/3,0.0039304334494788,0.0091596970150456,0.0122908393620427
2018/8/30,0.0171188202378231,0.022393328758717,0.0170199387258491
2018/8/31,0.0029463450813133002,0.0016215219649809995,-0.0008012713147943998
2018/8/6,-0.0091937780471893,-0.0098126797074286,-0.0066050895636859
2018/8/7,0.0229213982072343,0.0236016310777413,0.021753016735596
2018/8/8,-0.0058098469412146,-0.008624627952954,-0.0062020918383985
2018/8/9,-0.0137807423561245,-0.0171493835508384,-0.016153857131048
2018/9/10,0.0037022337962053994,0.0040417856670498,0.0003699793094639999
2018/9/11,0.0176128117985575,0.024365919157505994,0.024578969850172404
2018/9/12,0.0176246463782372,0.015601518986276399,0.0093943058410464
2018/9/13,-0.0065159551027949,-0.0096481651716235,-0.0100445806044052
2018/9/14,0.0011115753484916002,-0.0033150528231585003,-0.0081114552902482
2018/9/17,-0.0206433355751941,-0.0275318208689843,-0.0172177931276385
2018/9/18,-0.0077364982733803996,-0.0121195824755135,-0.0086079717725915
2018/9/19,-0.0132758911711348,-0.011965314480558799,-0.009119168292662799
2018/9/20,-0.0147807229334351,-0.018483260629546798,-0.012050736037336598
2018/9/21,0.0179948020998137,0.018856312046344102,0.010744290710168601
2018/9/24,-0.012573142582561399,-0.0182536159482764,-0.0161207632033897
2018/9/25,-0.0090361688178591,-0.010170353044601682,-0.008184006081667701
2018/9/26,0.0012630902343134989,0.0017472011717523002,-0.0033095010736214
2018/9/27,0.0130380079745702,0.020311521233654598,0.0205504731624398
2018/9/28,0.0032410795894946,0.005866442193616499,0.004779055388677901
2018/9/4,0.00035274981846960055,0.0038409438062966,0.0064210153915018
2018/9/5,0.0290491006654428,0.038706090411831304,0.029560444227648197
2018/9/6,-0.0041967464755678,-0.0014696423934382995,0.00027094533135699986
2018/9/7,-0.0045686254869196,-0.008777759750380799,-0.0099470682739252
2019/1/10,0.036520484788180894,-0.002093296111123801,-0.005667757346252101
2019/1/11,0.0167671799506914,0.024809830167165297,0.0211463680322245
2019/1/14,-0.1011369810453343,-0.0177036658211967,-0.012065575519101
2019/1/15,-0.0955453704134613,-0.010855239183582801,-0.0070154143457358
2019/1/16,0.03878489991644771,0.0033388379991289,0.005112685627648801
2019/1/17,-0.0855088563605816,-0.0270597283737932,-0.0224289854090327
2019/1/18,0.038575298581234,0.0052142162507448995,0.00380527845481
2019/1/2,0.034991164267504093,0.005415783688464499,0.009527344796780598
2019/1/22,0.0367374032517906,0.0020863667990848,-0.0039114449953037995
2019/1/23,-0.0102628577476781,0.015671783909145802,0.012766773654074401
2019/1/24,-0.012088120641185699,0.011088194139466798,0.010165770912260999
2019/1/25,-0.0225429784515604,-0.0044034695856741,-0.0059510037287984
2019/1/28,-0.027354449353177598,-0.012247269719607701,-0.0081841316637364
2019/1/29,0.010122132619480799,0.027436868671092005,0.0159368018309589
2019/1/3,-0.08322532707113539,-0.028865778934638802,-0.025574529864979198
2019/1/30,-0.0180207280311167,-0.0085015267760325,-0.0047483903479271
2019/1/31,-0.017744623091198397,-0.0145281420686666,-0.0107250794243108
2019/1/4,0.04387348452477871,0.001523150923573401,0.0009063063429536004
2019/1/7,0.037023220731379,0.0075395408733434,0.0074958343347234
2019/1/8,-0.0950157972633626,-0.012126106533950201,-0.0114698176957845
2019/1/9,0.0209553331424929,0.023953867067597397,0.013538557994204501
2019/10/1,0.0153825222947346,0.017773512377862802,0.016938465518987603
2019/10/10,-0.0228415687041613,-0.022386603732375603,-0.012862387611978
2019/10/11,0.020839447853495098,0.027258499996034802,0.023328590407400297
2019/10/14,0.0083547432385329,0.0049533030133362,0.0022072707284763998
2019/10/15,-0.014725376412183699,-0.020130914605355,-0.0180504365871159
2019/10/16,-0.0150234372456936,-0.0202741014181453,-0.0163009473626577
2019/10/17,0.010962452705707101,0.017546432904016404,0.010173902135022101
2019/10/18,-0.0099376218504747,-0.015034935794617399,-0.0108316207256716
2019/10/2,0.010188865906652099,0.011388754155290899,0.0072629018861109
2019/10/21,0.0173504990494463,0.0211928201308259,0.0120006353816381
2019/10/22,0.008099717767755501,0.0092562146532908,0.0087362015446205
2019/10/23,0.006575072802582499,0.0043769614492395,0.0027792733175749
2019/10/24,0.0053615098867011,0.0069197273803410005,0.0068428779073666
2019/10/25,0.0024333631909058007,0.0035107329456198003,-0.0002488104096979001
2019/10/28,0.0102699083243091,0.0079330519466079,0.007366889127945701
2019/10/29,-0.0054435963655867,-0.003343124388733099,0.0049547305374934
2019/10/3,-0.0024436434170627,0.0002580742614839999,0.002189735385742299
2019/10/30,0.0019891983953833,-0.0046307454985861,-0.005179818479622
2019/10/31,0.009949750150527499,0.0098864589721268,0.0089351227557317
2019/10/4,-0.0096605967546838,-0.012522812188370699,-0.014475937079212901
2019/10/7,-0.026721549045476,-0.030563268393822698,-0.0269834766320902
2019/10/8,0.0064406949786875,0.011414267442995299,0.009326012152363701
2019/10/9,-0.0105850289408195,-0.0065325938084253255,-0.0070079366042881995
2019/11/1,0.006828010013436901,0.0108535835277016,0.013000244751003198
2019/11/11,-0.006265240047806601,-0.0090635731496126,-0.0087564064778158
2019/11/12,-0.003961896958184099,-0.0083792526179488,-0.0068757288370254
2019/11/13,0.006567944341745799,0.007842078691186598,0.006808992553440899
2019/11/14,0.0013580794625988012,0.0018746921633570994,-0.0008142543367376
2019/11/15,-0.005123856198660699,-0.006724923039868801,-0.003976352924191799
2019/11/18,-0.011557028190628699,-0.0098562960830297,-0.0026779894717390996
2019/11/19,0.002025015695825,0.0012705504068449003,-0.0025875020670426
2019/11/20,0.0110369680106399,0.016647397613321,0.011469173279861699
2019/11/21,0.0039063961218406985,0.011039587470129201,0.0083842787347981
2019/11/22,-0.0113838112006369,-0.0119801360626158,-0.0066085936645189
