Date,y_A,y_B,y_C,ymmu_A,ymmu_B,ymmu_C,sigma_A,sigma_B,sigma_C,FTI_FTI,FTIdma_FTI,FTIpctrank_FTI
2015/1/2,0.028638248620421417,0.032113353548788116,0.02101505623992945,,,,,,,,,
2015/1/5,0.011386188122636812,0.01444606097721049,0.013209880594411435,,,,,,,,,
2015/1/6,0.018704720369520013,0.02546238707920366,0.025862295308332443,,,,,,,,,
2015/1/7,0.03466986133096884,0.04333311175620518,0.03242733999736478,,,,,,,,,
2015/1/8,0.029947502965617562,0.03495350947649724,0.02741983927672393,,,,,,,,,
2015/1/9,-0.006037140708902807,-0.010891034954810405,-0.01170277410650507,,,,,,,,,
2015/1/12,0.018342328832040355,0.01399324934720444,0.014594700385770031,,,,,,,,,
2015/1/13,0.00441002124631571,0.008616795097451512,0.00023899255652931167,,,,,,,,,
2015/1/14,0.005018928643796763,0.004321756802676289,-0.0030772189786434354,,,,,,,,,
2015/1/15,0.01151826120025003,0.012527306480029832,0.011104434442322056,,,,,,,,,
2015/1/16,0.008146578389028434,0.010155715395784474,0.007886866683422367,,,,,,,,,
2015/1/20,0.024719821811711718,0.02560628381543461,0.01910047466803568,,,,,,,,,
2015/1/21,0.01595100570744756,0.018131472669711417,0.01363599235551471,,,,,,,,,
2015/1/22,0.00786363606616032,0.01527762365387914,0.013772249507918092,,,,,,,,,
2015/1/23,0.011939030460660669,0.01578576297795555,0.011434061160016615,,,,,,,,,
2015/1/26,0.010545238805246177,0.013691349552391362,0.007786530003358411,,,,,,,,,
2015/1/27,0.025223326822622263,0.02569972412287739,0.017882713117504882,,,,,,,,,
2015/1/28,0.0037294857431146634,0.010952103680695805,0.011326096350084056,,,,,,,,,
2015/1/29,0.010284583316540377,0.008234244862363214,0.005072596345127929,,,,,,,,,
2015/1/30,-0.0044789961838186025,0.00017447815454620094,-0.0038593694058147703,-0.018005127761887518,-0.015954784570258573,-0.015615907230884912,0.011033428968138623,0.012470800860799228,0.010977380678017543,4.291860564951412,,
2015/2/2,-0.02596849532466121,-0.03726783518819254,-0.0295193047277218,-0.036764289705476,-0.04992803847614828,-0.03874912450440938,0.013563397318507342,0.016717416141663617,0.014104578908873759,0.3874913928462543,,
2015/2/3,0.014592249250863503,0.021567639672822905,0.018711905931053468,0.0036361518136373843,0.00855135745008654,0.009206984887533784,0.013589662776084407,0.016832902207356074,0.014239306675393231,0.31580345441587776,,
2015/2/4,0.0172589044415139,0.0253816056686702,0.024141663761647652,0.006375097800688089,0.01236936251646051,0.01472277429546221,0.01355006205576727,0.016829767971112842,0.014140129071907016,5.924754364164107,,
2015/2/5,-0.003063172136422044,-0.006055670704311494,-0.004215503667389061,-0.012060327103878313,-0.01659847473349535,-0.011802250950336813,0.012661654047485055,0.01573438805787595,0.013354074351488871,2.3611459149354914,,
2015/2/6,0.035034932686336326,0.0432618036820336,0.03270502061480725,0.025783406232844117,0.032303584942572926,0.024854014264955333,0.013146516191274243,0.016503663698161333,0.013811654487516884,7.704004807976871,,
2015/2/9,-0.012071877009660795,-0.012905812133189358,-0.00895630685769952,-0.021021666648115098,-0.023763292013731084,-0.016944636569991713,0.01357805923834518,0.016649555881414292,0.013619321582478342,1.9996363571963949,,
2015/2/10,0.0069033598684359225,0.0059348095223299745,0.00684702065263513,-0.0014744813218381606,-0.004519748366968029,-0.0007539250730003217,0.013401366274952515,0.016667174200245747,0.013531424659121513,3.4402145474146195,,
2015/2/11,0.003956846091212751,0.0005649730962233313,0.00033966853060239617,-0.0043983363413061865,-0.009486993693013259,-0.007266310993736709,0.013408809117115292,0.016810529507344584,0.013528560233934258,4.257077205868041,,
2015/2/12,0.02571284919048152,0.027051496714687026,0.021512450014770604,0.016322970730628345,0.015863042929849896,0.012676987040760798,0.013926259114204928,0.017167289583761174,0.013623593115674057,10.238798888709836,,
2015/2/13,0.02491063697164941,0.03145452057311726,0.0259145554719512,0.014851139723226268,0.019319706083625758,0.016338586446459937,0.014349526510903453,0.0177565551517163,0.01414590080670759,4.3506374661300935,,
2015/2/17,0.008284502451464592,0.00969569536162343,0.007554897948934481,-0.0017818910000803585,-0.0024161181261600213,-0.0020044726398323887,0.014348591912338244,0.017759551402345575,0.014148181647055488,0.3898344929084836,,
2015/2/18,0.01110797487094052,0.011700573077723693,0.010082475119514165,0.0017221737664341336,0.0002840451268257844,0.0009740045081733721,0.013933786121207029,0.017473335481201217,0.01397069223683198,0.3318418093196981,,
2015/2/19,-0.004905144826649595,-0.00309535493452514,-0.0054262936123518745,-0.013248138404451123,-0.013450541505211218,-0.013581649925299338,0.014194583457548704,0.017687353429900455,0.014292097504579238,3.5628952202056503,,
2015/2/20,-0.01873075836288304,-0.021010244314190747,-0.020129223231805743,-0.025744032219232403,-0.029551037486473333,-0.026589505907767014,0.015433444478422362,0.018970512235964368,0.015546228902502797,0.9819898732861464,,
2015/2/23,0.0019237760502757285,0.00012769821818123898,-0.0023114870755914,-0.004588735085554389,-0.00763019171611263,-0.00808449233977227,0.015427688036108538,0.01897887771212368,0.01561844034271868,1.46237778015416,,
2015/2/24,0.008302230729088249,0.006495106773127513,0.007049988723540849,0.0019018699970660285,-0.0009029710222031619,0.001313810523350856,0.015404965457443591,0.018928615997157068,0.015614310535142771,2.6897135449139165,,
2015/2/25,0.02188663826105124,0.027774492441702447,0.02296667817921056,0.015653111957107568,0.02027267623043052,0.016976301725935283,0.015207183757556924,0.019039557643789125,0.015861881915728175,2.489821346870796,,
