Date,FTI
2017/6/15,0.988
2017/6/16,1.0
2017/6/19,0.996
2017/6/20,0.988
2017/6/21,1.0
2017/6/22,0.98
2017/6/23,0.976
2017/6/26,0.996
2017/6/27,0.996
2017/6/28,1.0
2017/6/29,0.996
2017/6/30,0.992
2017/7/3,0.988
2017/7/5,0.992
2017/7/6,0.992
2017/7/7,0.996
2017/7/10,0.984
2017/7/11,0.988
2017/7/12,0.968
2017/7/13,0.996
2017/7/14,0.872
2017/7/17,0.868
2017/7/18,0.864
2017/7/19,0.856
2017/7/20,0.856
2017/7/21,0.852
2017/7/24,0.856
2017/7/25,0.852
2017/7/26,0.856
2017/7/27,0.856
2017/7/28,0.82
2017/7/31,0.812
2017/8/1,0.808
2017/8/2,0.776
2017/8/3,0.772
2017/8/4,0.768
2017/8/7,0.764
2017/8/8,0.744
2017/8/9,0.74
2017/8/10,0.736
2017/8/11,0.732
2017/8/14,0.732
2017/8/15,0.728
2017/8/16,0.72
2017/8/17,0.708
2017/8/18,0.7
2017/8/21,0.456
2017/8/22,0.424
2017/8/23,0.416
2017/8/24,0.412
2017/8/25,0.416
2017/8/28,0.412
2017/8/29,0.404
2017/8/30,0.396
2017/8/31,0.392
2017/9/1,0.388
2017/9/5,0.388
2017/9/6,0.38
2017/9/7,0.38
2017/9/8,0.376
2017/9/11,0.376
2017/9/12,0.368
2017/9/13,0.368
2017/9/14,0.36
2017/9/15,0.356
2017/9/18,0.368
2017/9/19,0.364
2017/9/20,0.352
2017/9/21,0.344
2017/9/22,0.332
2017/9/25,0.328
2017/9/26,0.324
2017/9/27,0.32
2017/9/28,0.316
2017/9/29,0.316
2017/10/2,0.32
2017/10/3,0.316
2017/10/4,0.312
2017/10/5,0.296
2017/10/6,0.276
2017/10/9,0.272
2017/10/10,0.248
2017/10/11,0.264
2017/10/12,0.136
2017/10/13,0.096
2017/10/16,0.1
2017/10/17,0.072
2017/10/18,0.068
2017/10/19,0.056
2017/10/20,0.04
2017/10/23,0.032
2017/10/24,0.008
2017/10/25,0.016
2017/10/26,0.004
2017/10/27,0.004
2017/10/30,0.004
2017/10/31,0.004
2017/11/1,0.008
2017/11/2,0.004
2017/11/3,0.004
2017/11/6,0.008
2017/11/7,0.008
2017/11/8,0.016
2017/11/9,0.012
2017/11/10,0.004
2017/11/13,0.008
2017/11/14,0.004
2017/11/15,0.008
2017/11/16,0.044
2017/11/17,0.064
2017/11/20,0.056
2017/11/21,0.068
2017/11/22,0.08
2017/11/24,0.104
2017/11/27,0.112
2017/11/28,0.116
2017/11/29,0.112
2017/11/30,0.104
2017/12/1,0.056
2017/12/4,0.068
2017/12/5,0.072
2017/12/6,0.08
2017/12/7,0.072
2017/12/8,0.1
2017/12/11,0.108
2017/12/12,0.072
2017/12/13,0.116
2017/12/14,0.14
2017/12/15,0.168
2017/12/18,0.192
2017/12/19,0.2
2017/12/20,0.252
2017/12/21,0.252
2017/12/22,0.252
2017/12/26,0.24
2017/12/27,0.236
2017/12/28,0.228
2017/12/29,0.224
2018/1/2,0.212
2018/1/3,0.212
2018/1/4,0.22
2018/1/5,0.212
2018/1/8,0.22
2018/1/9,0.18
2018/1/10,0.208
2018/1/11,0.204
2018/1/12,0.236
2018/1/16,0.24
2018/1/17,0.212
2018/1/18,0.212
2018/1/19,0.244
2018/1/22,0.276
2018/1/23,0.28
2018/1/24,0.284
2018/1/25,0.428
2018/1/26,0.428
2018/1/29,0.436
2018/1/30,0.44
2018/1/31,0.444
2018/2/1,0.448
2018/2/2,0.452
2018/2/5,0.448
2018/2/6,0.456
2018/2/7,0.464
2018/2/8,0.468
2018/2/9,0.468
2018/2/12,0.472
2018/2/13,0.464
2018/2/14,0.448
2018/2/15,0.448
2018/2/16,0.452
2018/2/20,0.448
2018/2/21,0.452
2018/2/22,0.452
2018/2/23,0.448
2018/2/26,0.46
2018/2/27,0.468
2018/2/28,0.48
2018/3/1,0.476
2018/3/2,0.492
2018/3/5,0.492
2018/3/6,0.496
2018/3/7,0.504
2018/3/8,0.496
2018/3/9,0.504
2018/3/12,0.504
2018/3/13,0.476
2018/3/14,0.468
2018/3/15,0.448
2018/3/16,0.456
2018/3/19,0.476
2018/3/20,0.44
2018/3/21,0.44
2018/3/22,0.46
2018/3/23,0.488
2018/3/26,0.5
2018/3/27,0.524
2018/3/28,0.532
2018/3/29,0.532
2018/4/2,0.54
2018/4/3,0.56
2018/4/4,0.572
2018/4/5,0.528
2018/4/6,0.56
2018/4/9,0.532
2018/4/10,0.544
2018/4/11,0.54
2018/4/12,0.544
2018/4/13,0.56
2018/4/16,0.544
2018/4/17,0.528
2018/4/18,0.428
2018/4/19,0.664
2018/4/20,0.696
2018/4/23,0.704
2018/4/24,0.716
2018/4/25,0.76
2018/4/26,0.756
2018/4/27,0.772
2018/4/30,0.768
2018/5/1,0.764
2018/5/2,0.764
2018/5/3,0.768
2018/5/4,0.768
2018/5/7,0.756
2018/5/8,0.768
2018/5/9,0.768
2018/5/10,0.768
2018/5/11,0.776
2018/5/14,0.78
2018/5/15,0.776
2018/5/16,0.784
2018/5/17,0.788
2018/5/18,0.776
2018/5/21,0.784
2018/5/22,0.772
2018/5/23,0.808
2018/5/24,0.816
2018/5/25,0.82
2018/5/29,0.82
2018/5/30,0.824
2018/5/31,0.828
2018/6/1,0.832
2018/6/4,0.836
2018/6/5,0.84
2018/6/6,0.836
2018/6/7,0.848
2018/6/8,0.824
2018/6/11,0.824
2018/6/12,0.824
2018/6/13,0.82
2018/6/14,0.844
2018/6/15,0.848
2018/6/18,0.832
2018/6/19,0.828
2018/6/20,0.82
2018/6/21,0.828
2018/6/22,0.844
2018/6/25,0.86
2018/6/26,0.864
2018/6/27,0.908
2018/6/28,0.908
2018/6/29,0.916
2018/7/2,0.916
2018/7/3,0.904
2018/7/5,0.904
2018/7/6,0.876
2018/7/9,0.924
2018/7/10,0.94
2018/7/11,0.94
2018/7/12,0.948
2018/7/13,0.948
2018/7/16,0.728
2018/7/17,0.72
2018/7/18,0.68
2018/7/19,0.676
2018/7/20,0.668
2018/7/23,0.672
2018/7/24,0.392
2018/7/25,0.396
2018/7/26,0.408
2018/7/27,0.404
2018/7/30,0.376
2018/7/31,0.368
2018/8/1,0.376
2018/8/2,0.392
2018/8/3,0.36
2018/8/6,0.372
2018/8/7,0.352
2018/8/8,0.344
2018/8/9,0.364
2018/8/10,0.352
2018/8/13,0.352
2018/8/14,0.348
2018/8/15,0.352
2018/8/16,0.364
2018/8/17,0.308
2018/8/20,0.288
2018/8/21,0.276
2018/8/22,0.272
2018/8/23,0.272
2018/8/24,0.28
2018/8/27,0.276
2018/8/28,0.272
2018/8/29,0.276
2018/8/30,0.288
2018/8/31,0.276
2018/9/4,0.3
2018/9/5,0.308
2018/9/6,0.308
2018/9/7,0.324
2018/9/10,0.336
2018/9/11,0.332
2018/9/12,0.32
2018/9/13,0.324
2018/9/14,0.328
2018/9/17,0.3
2018/9/18,0.272
2018/9/19,0.284
2018/9/20,0.276
2018/9/21,0.204
2018/9/24,0.252
2018/9/25,0.224
2018/9/26,0.24
2018/9/27,0.28
2018/9/28,0.344
2018/10/1,0.356
2018/10/2,0.32
2018/10/3,0.288
2018/10/4,0.288
2018/10/5,0.28
2018/10/8,0.284
2018/10/9,0.26
2018/10/10,0.22
2018/10/11,0.208
2018/10/12,0.16
2018/10/15,0.132
2018/10/16,0.128
2018/10/17,0.124
2018/10/18,0.132
2018/10/19,0.172
2018/10/22,0.18
2018/10/23,0.18
2018/10/24,0.192
2018/10/25,0.22
2018/10/26,0.152
2018/10/29,0.144
2018/10/30,0.14
2018/10/31,0.152
2018/11/1,0.164
2018/11/2,0.1
2018/11/5,0.096
2018/11/6,0.1
2018/11/7,0.176
2018/11/8,0.156
2018/11/9,0.168
2018/11/12,0.164
2018/11/13,0.144
2018/11/14,0.08
2018/11/15,0.08
2018/11/16,0.06
2018/11/19,0.044
2018/11/20,0.108
2018/11/21,0.14
2018/11/23,0.14
2018/11/26,0.144
2018/11/27,0.12
2018/11/28,0.18
2018/11/29,0.124
2018/11/30,0.088
2018/12/3,0.076
2018/12/4,0.048
2018/12/6,0.188
2018/12/7,0.2
2018/12/10,0.28
2018/12/11,0.308
2018/12/12,0.3
2018/12/13,0.324
2018/12/14,0.316
2018/12/17,0.392
2018/12/18,0.388
2018/12/19,0.352
2018/12/20,0.356
2018/12/21,0.4
2018/12/24,0.336
2018/12/26,0.248
2018/12/27,0.368
2018/12/28,0.352
2018/12/31,0.356
2019/1/2,0.404
2019/1/3,0.424
2019/1/4,0.428
2019/1/7,0.432
2019/1/8,0.432
2019/1/9,0.432
2019/1/10,0.428
2019/1/11,0.416
2019/1/14,0.412
2019/1/15,0.412
2019/1/16,0.404
2019/1/17,0.392
2019/1/18,0.388
2019/1/22,0.396
2019/1/23,0.396
2019/1/24,0.388
2019/1/25,0.392
2019/1/28,0.396
2019/1/29,0.392
2019/1/30,0.404
2019/1/31,0.408
2019/2/1,0.424
2019/2/4,0.436
2019/2/5,0.448
2019/2/6,0.392
2019/2/7,0.412
2019/2/8,0.392
2019/2/11,0.412
2019/2/12,0.424
2019/2/13,0.432
2019/2/14,0.44
2019/2/15,0.44
2019/2/19,0.388
2019/2/20,0.372
2019/2/21,0.364
2019/2/22,0.36
2019/2/25,0.384
2019/2/26,0.388
2019/2/27,0.388
2019/2/28,0.396
2019/3/1,0.4
2019/3/4,0.42
2019/3/5,0.408
2019/3/6,0.388
2019/3/7,0.4
2019/3/8,0.304
2019/3/11,0.24
2019/3/12,0.232
2019/3/13,0.204
2019/3/14,0.18
2019/3/15,0.168
2019/3/18,0.156
2019/3/19,0.172
2019/3/20,0.188
2019/3/21,0.152
2019/3/22,0.204
2019/3/25,0.224
2019/3/26,0.152
2019/3/27,0.18
2019/3/28,0.192
2019/3/29,0.152
2019/4/1,0.152
2019/4/2,0.052
2019/4/3,0.088
2019/4/4,0.152
2019/4/5,0.112
2019/4/8,0.184
2019/4/9,0.156
2019/4/10,0.148
2019/4/11,0.116
2019/4/12,0.224
2019/4/15,0.232
2019/4/16,0.284
2019/4/17,0.188
2019/4/18,0.292
2019/4/22,0.296
2019/4/23,0.32
2019/4/24,0.7
2019/4/25,0.708
2019/4/26,0.712
2019/4/29,0.724
2019/4/30,0.72
2019/5/1,0.756
2019/5/2,0.748
2019/5/3,0.768
2019/5/6,0.788
2019/5/7,0.788
2019/5/8,0.788
2019/5/9,0.792
2019/5/10,0.804
2019/5/13,0.808
2019/5/14,0.812
2019/5/15,0.816
2019/5/16,0.82
2019/5/17,0.824
2019/5/20,0.824
2019/5/21,0.82
2019/5/22,0.824
2019/5/23,0.816
2019/5/24,0.844
2019/5/28,0.84
2019/5/29,0.824
2019/5/30,0.824
2019/5/31,0.812
2019/6/3,0.812
2019/6/4,0.82
2019/6/5,0.848
2019/6/6,0.86
2019/6/7,0.86
2019/6/10,0.868
2019/6/11,0.836
2019/6/12,0.832
2019/6/13,0.832
2019/6/14,0.812
2019/6/17,0.812
2019/6/18,0.812
2019/6/19,0.808
2019/6/20,0.804
2019/6/21,0.8
2019/6/24,0.796
2019/6/25,0.816
2019/6/26,0.828
2019/6/27,0.82
2019/6/28,0.788
2019/7/1,0.768
2019/7/2,0.768
2019/7/3,0.76
2019/7/5,0.768
2019/7/8,0.768
2019/7/9,0.768
2019/7/10,0.728
2019/7/11,0.728
2019/7/12,0.7
2019/7/15,0.704
2019/7/16,0.656
2019/7/17,0.672
2019/7/18,0.684
2019/7/19,0.312
2019/7/22,0.316
2019/7/23,0.256
2019/7/24,0.172
2019/7/25,0.24
2019/7/26,0.156
2019/7/29,0.168
2019/7/30,0.048
2019/7/31,0.004
2019/8/1,0.008
2019/8/2,0.012
2019/8/5,0.016
2019/8/6,0.016
2019/8/7,0.012
2019/8/8,0.012
2019/8/9,0.012
2019/8/12,0.008
2019/8/13,0.004
2019/8/14,0.024
2019/8/15,0.024
2019/8/16,0.056
2019/8/19,0.076
2019/8/20,0.056
2019/8/21,0.136
2019/8/22,0.112
2019/8/23,0.104
2019/8/26,0.084
2019/8/27,0.148
2019/8/28,0.248
2019/8/29,0.136
2019/8/30,0.188
2019/9/3,0.264
2019/9/4,0.244
2019/9/5,0.164
2019/9/6,0.172
2019/9/9,0.288
2019/9/10,0.328
2019/9/11,0.52
2019/9/12,0.592
2019/9/13,0.616
2019/9/16,0.588
2019/9/17,0.632
2019/9/18,0.648
2019/9/19,0.704
2019/9/20,0.632
2019/9/23,0.64
2019/9/24,0.68
2019/9/25,0.704
2019/9/26,0.72
2019/9/27,0.728
2019/9/30,0.732
2019/10/1,0.724
2019/10/2,0.76
2019/10/3,0.76
2019/10/4,0.752
