Date,AR
2015/1/30,0.9567274851933519
2015/2/2,0.9747843981084581
2015/2/3,0.9743622344165929
2015/2/4,0.9746712024823164
2015/2/5,0.9713668903288006
2015/2/6,0.9735324570717823
2015/2/9,0.9733693699932543
2015/2/10,0.9756449589684123
2015/2/11,0.9773651539258111
2015/2/12,0.9804145961716826
2015/2/13,0.9816835788193996
2015/2/17,0.981691842772115
2015/2/18,0.9823144907875729
2015/2/19,0.9824947322871047
2015/2/20,0.9861405346073127
2015/2/23,0.9857952361357302
2015/2/24,0.985755608882882
2015/2/25,0.9879070312211942
2015/2/26,0.9904545983056343
2015/2/27,0.9913202067663954
2015/3/2,0.9916280098908035
2015/3/3,0.9882880232637605
2015/3/4,0.9898658850526318
2015/3/5,0.9913991828587455
2015/3/6,0.9922803457669992
2015/3/9,0.9863636843331868
2015/3/10,0.9855646845969184
2015/3/11,0.9859686492698931
2015/3/12,0.9870279431661803
2015/3/13,0.9878546450458983
2015/3/16,0.9841942155480857
2015/3/17,0.9819089818062237
2015/3/18,0.9796493015084748
2015/3/19,0.9799889686114709
2015/3/20,0.9779500784657266
2015/3/23,0.9788209439818593
2015/3/24,0.9788217019536257
2015/3/25,0.9757668564401635
2015/3/26,0.9717905815458857
2015/3/27,0.9716680864643352
2015/3/30,0.9736005540026088
2015/3/31,0.9741453285209806
2015/4/1,0.9715742231988339
2015/4/2,0.9688036517914066
2015/4/6,0.9577134172472175
2015/4/7,0.9696966523588461
2015/4/8,0.9690848368606945
2015/4/9,0.9730016899234477
2015/4/10,0.971263205252188
2015/4/13,0.9660531718394488
2015/4/14,0.968681554439853
2015/4/15,0.9757670631005366
2015/4/16,0.9800834863781643
2015/4/17,0.9843600033057899
2015/4/20,0.9834605216160347
2015/4/21,0.9820403193913985
2015/4/22,0.9818113189936427
2015/4/23,0.9801730968741316
2015/4/24,0.9800285832782188
2015/4/27,0.9780998575385879
2015/4/28,0.9789650977702552
2015/4/29,0.9801688433734036
2015/4/30,0.9763218491495872
2015/5/1,0.9797256357736769
2015/5/4,0.9765474930669611
2015/5/5,0.9812460973635203
2015/5/6,0.9851065288013994
2015/5/7,0.9814297144699503
2015/5/8,0.9774970512795452
2015/5/11,0.9782374379815636
2015/5/12,0.9757085634685118
2015/5/13,0.9752067545853262
2015/5/14,0.9732467902610397
2015/5/15,0.9708583310623882
2015/5/18,0.9692325458853905
2015/5/19,0.9700841532860534
2015/5/20,0.9693183612987352
2015/5/21,0.9682596818191062
2015/5/22,0.9704463124148391
2015/5/26,0.9702111969671121
2015/5/27,0.969595626232667
2015/5/28,0.9684658771054776
2015/5/29,0.9732377805481889
2015/6/1,0.9767548000088321
2015/6/2,0.9692136769554273
2015/6/3,0.9708976436955421
2015/6/4,0.9713044734365073
2015/6/5,0.9741392272478866
2015/6/8,0.9770223561029014
2015/6/9,0.9753502740815037
2015/6/10,0.9830798095739219
2015/6/11,0.9841804440296907
2015/6/12,0.9839080164263186
2015/6/15,0.9847892785055194
2015/6/16,0.9845172615995548
2015/6/17,0.9834903150382799
2015/6/18,0.9830361699762339
2015/6/19,0.9829334895592311
2015/6/22,0.9825132839371243
2015/6/23,0.9818667439973535
2015/6/24,0.9816908932874726
2015/6/25,0.979989363614257
2015/6/26,0.9797938981068363
2015/6/29,0.97690796995737
2015/6/30,0.9769281815852453
2015/7/1,0.9765086525923307
2015/7/2,0.974918891637123
2015/7/6,0.975451373003083
2015/7/7,0.9756956798619306
2015/7/8,0.9774914968511806
2015/7/9,0.9797689378917056
2015/7/10,0.9787792058839584
2015/7/13,0.9772922871309222
2015/7/14,0.976242942326687
2015/7/15,0.9686809090617405
2015/7/16,0.9708483035497812
2015/7/17,0.9731590421386912
2015/7/20,0.9733863604082755
2015/7/21,0.9744372443325333
2015/7/22,0.9782513542113702
2015/7/23,0.9764274071609927
2015/7/24,0.979461817836046
2015/7/27,0.981354782271843
2015/7/28,0.9827494544619316
2015/7/29,0.9815541574856379
2015/7/30,0.9828900441143599
2015/7/31,0.9825813085428472
2015/8/3,0.9846311145027878
2015/8/4,0.9789626960497315
2015/8/5,0.980789121254381
2015/8/6,0.9788651286203333
2015/8/7,0.9783245018292903
2015/8/10,0.9808998314755808
2015/8/11,0.9808896664383706
2015/8/12,0.9823135780937954
2015/8/13,0.9807072888434862
2015/8/14,0.980965940193189
2015/8/17,0.9806634033330542
2015/8/18,0.9810723301474678
2015/8/19,0.9781785202046704
2015/8/20,0.9782727134049239
2015/8/21,0.9767289301031652
2015/8/24,0.9790532449426581
2015/8/25,0.9779241110147406
2015/8/26,0.9778434757946153
2015/8/27,0.9764613683151935
2015/8/28,0.9755240868447012
2015/8/31,0.9749911971651226
2015/9/1,0.9774829163161128
2015/9/2,0.9753912868561219
2015/9/3,0.9754348986799086
2015/9/4,0.9750661820810088
2015/9/8,0.9702443710040357
2015/9/9,0.9707565423479888
2015/9/10,0.9729259515281734
2015/9/11,0.9749841334192475
2015/9/14,0.9746656213489879
2015/9/15,0.9730373924003003
2015/9/16,0.9712306404604085
2015/9/17,0.9742520995018014
2015/9/18,0.9737527972502728
2015/9/21,0.9722315049825169
2015/9/22,0.9704848664947525
2015/9/23,0.966993981840045
2015/9/24,0.971825002079899
2015/9/25,0.9709216512987457
2015/9/28,0.9693992082130551
2015/9/29,0.9716513175744984
2015/9/30,0.9722508372067724
2015/10/1,0.9725504908848299
2015/10/2,0.9800345329835702
2015/10/5,0.9803132659083997
2015/10/6,0.9812826244487822
2015/10/7,0.9749210700127671
2015/10/8,0.9750106955928755
