Day,A,B,C
0,0.02863824862042142,0.031898359151694936,0.02039679500375833
1,0.011386188122636812,0.014520759686753398,0.013427413373519216
2,0.018704720369520013,0.025750318518129922,0.026616861839038664
3,0.03466986133096884,0.04349816290897986,0.03234566504685088
4,0.029947502965617562,0.03485963977070549,0.027292919839823064
5,-0.006037140708902807,-0.011239072331500087,-0.012266579761317387
6,0.018342328832040355,0.013228013818598913,0.014307034985097026
7,0.00441002124631571,0.008934128114485105,-0.00014227515707664236
8,0.005018928643796763,0.004159408711791414,-0.003830795430742435
9,0.01151826120025003,0.012403742569813666,0.01110891117041634
10,0.008146578389028434,0.010191967486209517,0.007893180514262525
11,0.02471982181171172,0.02521901503616148,0.018658510883058685
12,0.01595100570744756,0.018035098474845364,0.013475933462860135
13,0.00786363606616032,0.015835143422127326,0.014366219623367623
14,0.011939030460660669,0.01592501037839682,0.01143144519245714
15,0.010545238805246177,0.01379033214837225,0.007563484385705345
16,0.025223326822622263,0.02526370525208518,0.017278385131354667
17,0.003729485743114663,0.01157027504128773,0.0120653941709822
18,0.010284583316540377,0.007842227425298057,0.004614402178708335
19,-0.0044789961838186025,0.000704129209148141,-0.003817328988960529
20,-0.02596849532466121,-0.03785058877642661,-0.029957354780492988
21,0.014592249250863502,0.02195485483228717,0.01916081739301761
22,0.0172589044415139,0.02582742219761617,0.024864480641321164
23,-0.003063172136422044,-0.006282817110920507,-0.00433718267556653
24,0.035034932686336326,0.04337823569446776,0.032616398416361256
25,-0.012071877009660795,-0.012754966829050167,-0.008705028973805925
26,0.006903359868435923,0.005710587727832479,0.006867999028767455
27,0.003956846091212751,0.00016570306206532825,9.533067527306492e-06
28,0.02571284919048152,0.02668843091194735,0.021209709066284724
29,0.024910636971649407,0.03160358257392565,0.02610547853310309
30,0.008284502451464592,0.009672243773378622,0.007516889374849775
31,0.01110797487094052,0.01154509329390727,0.010027004255359757
32,-0.004905144826649595,-0.0028289849077024025,-0.0054947616026255995
33,-0.01873075836288304,-0.020870258235742525,-0.02033421024750503
34,0.0019237760502757283,-8.045164234506564e-05,-0.0027083776506839
35,0.008302230729088249,0.006164144145956885,0.006962164635971813
36,0.021886638261051236,0.027918664819935653,0.02315332162165565
37,0.021533591059727072,0.024140321394803262,0.022601781553725685
38,0.0014252155528436212,0.0020239719839757904,0.0010288090548213665
39,0.0025006943813294094,0.00798552828448229,0.002771910990271369
40,-0.006938707147403169,-0.006737947205223629,-0.0017709616886818049
41,-0.011637408678781075,-0.016691618084957362,-0.013412641108446833
42,-0.015258245103762117,-0.017801838833091402,-0.010182829877456893
43,0.03100012912972728,0.034187627103312475,0.029240974514355537
44,-0.00012209151490055487,0.004940083861761862,0.01087308704407818
45,0.0007833050104210813,-0.0008359019217902598,-0.001363704740462078
46,-0.009522191799057174,-0.010771182506107521,-0.005768606921842877
47,0.01615911685331121,0.02036407607018832,0.019110001656746523
48,-0.01408981711616861,-0.016404186340892822,-0.01487881271364227
49,0.0036335799781823815,-0.0018331796333555406,-0.0020119806848458532
50,-0.005002300287225487,-0.01057674536250204,-0.013083818794605137
51,0.011218527822911512,0.012031776216490665,0.004727697548993918
52,-0.00013667538059637316,0.0008461216937752807,0.0010771430485752797
53,-0.008609391802567659,-0.010766966294452635,-0.006105864491540066
54,0.005968075195980389,0.004134924163344392,0.005325548478448712
55,0.011742572541602657,0.009826994949136875,0.008936848150293728
56,0.007165939025771734,0.007329290378683736,0.008592532166698797
57,0.010150555820541739,0.010699215654235355,0.006694584357797773
58,-0.001699055024457421,-0.00041713475618344225,-0.0011955320271538833
59,0.0017362021778385313,0.0010515330304224871,0.0031734742301002816
60,-0.002181471285058102,-0.0007118365845308144,0.0008001724147122228
61,0.001776527598806494,0.0002513854361566837,-0.0004635670413614458
62,-0.003961021968295854,-0.005562635581260074,-0.000273389884079947
63,-0.015511384313626423,-0.019714280467398045,-0.019857091067014367
64,0.008568838224252357,0.007808544287614656,0.0046066294044735485
65,0.0012423838049250655,0.003467659328104936,0.0018779450113795052
66,-0.014296003936679815,-0.019728021170030155,-0.013200306926967255
67,0.012178339273022719,0.012964431834030673,0.010379088125306968
68,-0.0051519620748489885,-0.006413579112720192,-0.009120050459538901
69,0.006981618379035697,0.0042752673520539,0.005045637816708628
70,0.015546902508391278,0.017628748450364877,0.017542122178091295
71,0.007956074429263365,0.007297941104165725,0.008176239092520363
72,0.020736960643184112,0.02365690144023362,0.02088346092896324
73,-0.009294893103277035,-0.011343380707997742,-0.01500180426529455
74,0.01141381925494174,0.011167034125408017,0.006087936398232862
75,-0.0023376832878169553,-0.003501160667450392,-0.0012764557947558374
76,-0.004690254165247946,-0.001489931038173813,-0.0013655165109950477
77,-0.0009973781335851075,-0.0012784359647348461,0.0006297234591641256
78,0.0023836928710756315,0.006482068430065345,0.001181127586574503
