Date,CSI
2015/4/27,7.113642593250804
2015/4/28,7.109353472593011
2015/4/29,7.0944501237054425
2015/4/30,7.090758929897501
2015/5/1,7.0565315761609515
2015/5/4,7.061919412475735
2015/5/5,7.401547305179279
2015/5/6,7.5217912336618635
2015/5/7,7.38875879408555
2015/5/8,7.39427045609853
2015/5/11,6.757740712646836
2015/5/12,7.2628471284791996
2015/5/13,7.268364984073185
2015/5/14,7.271076277483346
2015/5/15,7.270107790916311
2015/5/18,7.246019910130281
2015/5/19,8.536288878449477
2015/5/20,7.126290195452668
2015/5/21,6.910155896343977
2015/5/22,6.910075352856188
2015/5/26,6.9401877275702315
2015/5/27,6.401200488314811
2015/5/28,6.389304238127608
2015/5/29,6.386555601727259
2015/6/1,6.25081305557459
2015/6/2,6.169425379754189
2015/6/3,6.169416070704021
2015/6/4,5.634706363867271
2015/6/5,5.627242498374951
2015/6/8,5.891469905239261
2015/6/9,5.918722935544306
2015/6/10,5.9514927327337706
2015/6/11,6.011345330512897
2015/6/12,6.309313807874516
2015/6/15,6.229556997874036
2015/6/16,6.14600404862364
2015/6/17,5.594220614305671
2015/6/18,5.604512727528863
2015/6/19,5.537833577373194
2015/6/22,5.220577721462183
2015/6/23,5.206112735191851
2015/6/24,5.431048923984212
2015/6/25,5.5455168183842565
2015/6/26,5.54282413831909
2015/6/29,5.541264004462365
2015/6/30,5.544223679589649
2015/7/1,5.799218548269298
2015/7/2,5.867678251937791
2015/7/6,5.751978565947518
2015/7/7,5.749347332864627
2015/7/8,5.64117539836145
2015/7/9,5.263269777055742
2015/7/10,5.236906179202333
2015/7/13,4.908492207817182
2015/7/14,4.9166659923447416
2015/7/15,4.92788959589011
2015/7/16,4.93031795293972
2015/7/17,4.90529349739985
2015/7/20,5.030025152740313
2015/7/21,5.03905536531599
2015/7/22,5.491603104469779
2015/7/23,5.494760485727945
2015/7/24,5.504163534279928
2015/7/27,5.531793297370755
2015/7/28,5.527749861825068
2015/7/29,5.538850993435754
2015/7/30,5.539134013151009
2015/7/31,5.422048594800272
2015/8/3,5.42431804056565
2015/8/4,5.425414639941966
2015/8/5,5.448088548654289
2015/8/6,4.96023882717703
2015/8/7,4.972400377029971
2015/8/10,5.032136055112789
2015/8/11,5.056622969439468
2015/8/12,5.104198115215024
2015/8/13,3.81259596691515
2015/8/14,3.853738428209154
2015/8/17,3.8521521665629224
2015/8/18,4.016142813889982
2015/8/19,4.916455251779946
2015/8/20,4.890223634138526
2015/8/21,4.89410151629632
2015/8/24,4.896504448772062
2015/8/25,4.8955911470216344
2015/8/26,4.886067851877567
2015/8/27,4.9084744883441065
2015/8/28,5.194177602190987
2015/8/31,5.194014951554201
2015/9/1,4.9008792265778025
2015/9/2,4.863299825028416
2015/9/3,4.842022239979049
2015/9/4,4.7523283157381195
2015/9/8,4.455644575381376
2015/9/9,4.513675192221331
2015/9/10,4.503693316397088
2015/9/11,4.493527496006129
2015/9/14,4.612986926583152
2015/9/15,4.599648860986704
2015/9/16,4.878910175018402
2015/9/17,4.8856698754263785
2015/9/18,4.870563591855696
2015/9/21,4.770827046508546
2015/9/22,4.796522222504266
2015/9/23,4.798388626631988
2015/9/24,4.805282078534531
2015/9/25,4.524137071842485
2015/9/28,4.458063150387773
2015/9/29,4.467691038502324
2015/9/30,4.434240623383676
2015/10/1,4.365777138631264
2015/10/2,4.368961726604317
2015/10/5,4.648509169725316
2015/10/6,4.6534980423478105
2015/10/7,4.960869833050044
2015/10/8,4.948287457924861
2015/10/9,4.978312892892853
2015/10/12,4.981006078511109
2015/10/13,4.876494687784011
2015/10/14,4.815212568374067
2015/10/15,4.558345425311589
2015/10/16,4.5825201825643775
2015/10/19,4.5672246483263965
2015/10/20,4.581024813690956
2015/10/21,4.587782700172334
2015/10/22,4.577042970729442
2015/10/23,4.246308124046938
2015/10/26,4.281349862866496
2015/10/27,4.284060516954395
2015/10/28,4.276825352360036
2015/10/29,4.492845629121523
2015/10/30,4.478272481406122
2015/11/2,4.457260912309563
2015/11/3,4.400321300376021
2015/11/4,4.434521101374716
2015/11/5,4.447304643114151
2015/11/6,4.444392371473964
2015/11/9,4.4029915122242445
2015/11/10,4.432284467126755
2015/11/11,4.464073800591205
2015/11/12,3.5287890168101725
2015/11/13,3.5236364301482417
2015/11/16,3.5267346532776944
2015/11/17,3.55519179181613
2015/11/18,4.262937907965336
2015/11/19,4.263147890509598
2015/11/20,4.288193446030703
2015/11/23,4.024228932901836
2015/11/24,4.123128423748792
2015/11/25,4.28021097948833
2015/11/27,4.284223039711933
2015/11/30,4.28699727926909
2015/12/1,4.566074934226321
2015/12/2,4.584650669194915
2015/12/3,4.52456809346448
2015/12/4,4.431012707672938
2015/12/7,4.455202014864807
2015/12/8,4.346537468204935
2015/12/9,4.4286253332738195
2015/12/10,4.0787339014331
2015/12/11,4.324937282637892
2015/12/14,4.153060886951783
2015/12/15,4.294672603434082
2015/12/16,4.275148386440731
2015/12/17,4.292364023522864
2015/12/18,4.285607759893504
2015/12/21,4.288002256861012
2015/12/22,4.295109593133615
2015/12/23,4.304102435550051
2015/12/24,4.419282721951559
2015/12/28,4.469181533203003
2015/12/29,4.473493814713419
2015/12/30,4.264515407093003
2015/12/31,4.268581538262205
2016/1/4,3.9386381092002467
2016/1/5,3.9536073819253974
2016/1/6,3.938296938462551
2016/1/7,3.9320486509752692
2016/1/8,4.575634029535932
2016/1/11,4.596446894746005
2016/1/12,4.611583835161629
2016/1/13,4.585476663422942
2016/1/14,4.602885941409474
2016/1/15,4.565406279728862
